id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
146210,NMC,,,PreservedSpecimen,,42305,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,,,2017,1957-05-08,1957,5,8,128,,,,,,MF,,,,,,,,,,,,,"United States","New Mexico",Socorro,,"Slat Plains Refuge; Bosque del Apache Natl. Wildlife Refuge; San Antonio",,,,,,,,,,,,,,,,,,,,,,,"2015-05-02 02:30:11",42305,22,urn:uuid:9175c94f-9b13-46a9-b20f-82151bf0c8e2,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=146210
175599,USU,UTC,,PreservedSpecimen,USU:UTC:982,UTC00000982,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"JH Miller; B Maguire ",,39,,,,,,,,,,,,,,,,,,,0,,,,,"United States",Georgia,Clarke,,"[collected in the] spring [no month given] ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",982,16,urn:uuid:f263dcd7-bb1f-4984-9fe7-742263fee920,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=175599
191729,USU,UTC,,PreservedSpecimen,USU:UTC:59758,UTC00059758,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"E Bondy ",,s.n.,1937-05-05,1937,5,5,125,,,,"Sandy soil; pistillate plant ",,,,,,,,,,0,,,,,"United States",Oklahoma,Woodward,,"N of Woodward ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",59758,16,urn:uuid:3d8313da-cbf4-4583-ac02-8f301d5cd2cc,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=191729
192103,USU,UTC,,PreservedSpecimen,USU:UTC:61757,UTC00061757,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"R Rose-Innes; BH Warnock ",,791,1941-04-14,1941,4,14,104,,,,"In dark  fairly heavy soil in bottom land ",,,,,,,,,,0,,,,,"United States",Texas,Llano,,"10 mi S of Llano ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",61757,16,urn:uuid:2bd88bec-bd0f-4dec-8442-8ea58f626709,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=192103
212744,USU,UTC,,PreservedSpecimen,USU:UTC:139550,UTC00139550,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"SL Hatch ",,938,1972-04-04,1972,4,4,95,,,,,,,,,,,,,,0,,,,,"United States",Texas,"San Saba",,"12 mi SE of San Saba ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",139550,16,urn:uuid:2811e6c9-92c8-4486-911f-983bba58d94d,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=212744
232279,USU,UTC,,PreservedSpecimen,USU:UTC:197926,UTC00197926,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"SL Hatch ",,4113,1980-04-14,1980,4,14,105,,,,,,,,,,,,,,0,,,,,"United States",Texas,Brazos,,"College Station  jct of Park Place and Dexter ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",197926,16,urn:uuid:e03fbe45-385c-468d-88dc-de5b39573e64,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=232279
244696,USU,UTC,,PreservedSpecimen,USU:UTC:237222,UTC00237222,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera x Poa pratensis",,"hybrid formula",,,,,,,,,,,,"Jason T. Patterson",,,,,,,,,,"Voucher for: Genome Relationships in Polyploid Poa pratensis and other Poa species inferred from Phylogenetic Analysis of Nuclear and Chloroplast DNA Sequences.",Cultivated;,,,,,,,,Unknown,,0,,,,,"United States",Utah,Cache,,"CULTIVATED; UAES Evans Farm (41.6947 degrees latitude; -111.829 degrees longitude).",,0,,,,,,,,,,,,,,,,,,,,,"2017-01-24 23:25:11",237222,16,urn:uuid:4b0cb363-7b3e-4048-9e3a-d109e29d1e4f,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=244696
256341,USU,UTC,,PreservedSpecimen,USU:UTC:201369,UTC00201369,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"CW Morden ",,236,1981-04-02,1981,4,2,92,,,,"On border of road and woods; common ",,,,,,,,,,0,,,,,"United States",Texas,Burleson,,"Old River Ranch  approximately 1.5 mi E of Clay ",,0,,,,,,,,,,,,,,,,,,,,,"2016-11-30 13:49:51",201369,16,urn:uuid:f86644fd-4125-4f02-b37c-075d1352a073,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=256341
382556,UCR,,,PreservedSpecimen,UCR-BPS-2677,,UCR-2677,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"S.E. Wolff",,s.n.,1930-03-30,1930,3,30,89,,1930-3-30,,,,,,,,,,,,,,,,,"United States",Texas,Bell,,Unrecorded,,,,,,,,,,,,,,,,,,,,,,,"2019-10-27 17:05:57",1525673,9,urn:uuid:f0c01edc-f5e9-4766-9502-7b5c10127dc3,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=382556
1240417,RM,,,PreservedSpecimen,,152350,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"Bassett Maguire, B. L. Richards, Jr. and Theodore Moeller",,12004,1935-05-23,1935,5,23,143,,1935-5-23,,"Loamy sandy soil, racine.",,,,,,,,flowering,,,,,,,U.S.A.,Arizona,Graham,,"Graham Mountains: Pine Crest.",,,,32.6302,-109.83969,"NAD 83",1609,"T9S R24E S24",,,"Nat. Geog. TOPO!",,,2683,,,,,"8800 ft.",,English,,"2009-03-16 17:03:25",RM-20211,50,urn:uuid:61a47207-103a-40f3-9c79-da4d01eb0c8f,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=1240417
