"","site","ID","Aluminum.Tag","Code","Sex","leafN_t0","tillerN_t0","bottomLeafN_t0","Block","tillerN_t1","flowerN_t1","Phenology_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","Tillering_t1","Moisture.Standard_t1","Moisture.High.Clay_t1","Max.Height_t1","Comments_t1","year","flowerN_t0","Phenology_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","Tillering_t0","Moisture.Standard_t0","Moisture.High.Clay_t0","Max.Height_t0","Comments_t0","MaxWidth_t1","MaxLength_t1","MaxWidth_t0","MaxLength_t0","sum_widths","clone_area_t0","clone_area_t1","Longitude","Latitude","long.scaled","long.center","unique.block","flow_t1","pc_fn","surv_t1","delta.tiller","log_ratio","ploidy","symb","col"
"1","buffalolake",1,83,"QLP","F",6,2,11,14,6,0,"",NA,NA,NA,1,33,NA,"15.9","Chewed ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.14",0,0,1,4,1.09861228866811,"low",21,"blue"
"2","buffalolake",107,59,"CWM","F",4,1,0,10,1,0,"",NA,NA,NA,0,36.2,NA,"13.1","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.10",0,0,1,0,0,"low",21,"blue"
"3","buffalolake",109,33,"HHC","F",7,2,0,6,8,0,"",NA,NA,NA,0,27.5,NA,"25.2","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.6",0,0,1,6,1.38629436111989,"high",21,"blue"
"4","buffalolake",110,27,"HHC","F",6,2,1,5,6,2,"3",6,6.4,NA,1,35.5,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.5",1,0.333333333333333,1,4,1.09861228866811,"high",21,"blue"
"5","buffalolake",114,17,"HHC","F",4,2,11,3,9,1,"2",6.7,NA,NA,1,31.5,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.3",1,0.111111111111111,1,7,1.50407739677627,"high",21,"blue"
"6","buffalolake",12,47,"QLP","F",3,1,6,8,0,NA,"",NA,NA,NA,NA,39.8,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.8",NA,NA,0,-1,NA,"low",21,"blue"
"7","buffalolake",121,49,"HHC","M",3,1,11,9,1,0,"",NA,NA,NA,0,33.3,NA,"11.4","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.9",0,0,1,0,0,"high",24,"red"
"8","buffalolake",131,36,"CWM","M",5,1,0,6,0,NA,"",NA,NA,NA,NA,32.6,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.6",NA,NA,0,-1,NA,"low",24,"red"
"9","buffalolake",14,34,"HHC","M",4,2,0,6,2,0,"",NA,NA,NA,1,34.8,NA,"21.4","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.6",0,0,1,0,0,"high",24,"red"
"10","buffalolake",142,60,"CWM","M",8,1,2,10,0,NA,"",NA,NA,NA,NA,31.1,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.10",NA,NA,0,-1,NA,"low",24,"red"
"11","buffalolake",145,79,"CWM","F",6,2,0,14,0,NA,"",NA,NA,NA,NA,29.3,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.14",NA,NA,0,-2,NA,"low",21,"blue"
"12","buffalolake",147,71,"CWM","M",6,2,0,12,0,NA,"",NA,NA,NA,NA,33,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.12",NA,NA,0,-2,NA,"low",24,"red"
"13","buffalolake",15,6,"HHC","M",2,1,13,1,2,0,"",NA,NA,NA,1,33.7,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.1",0,0,1,1,0.693147180559945,"high",24,"red"
"14","buffalolake",166,18,"HHC","M",6,3,3,3,2,0,"",NA,NA,NA,0,32.6,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.3",0,0,1,-1,-0.405465108108164,"high",24,"red"
"15","buffalolake",17,28,"HHC","M",3,1,11,5,2,0,"",NA,NA,NA,1,33,NA,NA,"Tree down above plant, but did not seem to harm it ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.5",0,0,1,1,0.693147180559945,"high",24,"red"
"16","buffalolake",18,12,"HHC","M",3,1,7,2,4,0,"",NA,NA,NA,1,30.4,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.2",0,0,1,3,1.38629436111989,"high",24,"red"
"17","buffalolake",211,38,"QLP","M",7,3,6,7,2,0,"",NA,NA,NA,1,27.2,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.7",0,0,1,-1,-0.405465108108164,"low",24,"red"
"18","buffalolake",215,48,"QLP","M",10,3,4,8,3,0,"",NA,NA,NA,1,40.2,NA,NA,"Herb. ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.8",0,0,1,0,0,"low",24,"red"
"19","buffalolake",219,84,"QLP","M",12,3,3,14,9,0,"",NA,NA,NA,1,27.5,NA,"26.7","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.14",0,0,1,6,1.09861228866811,"low",24,"red"
"20","buffalolake",25,64,"QLP","M",5,2,1,11,0,0,"",NA,NA,NA,NA,30.4,NA,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"buffalolake.11",0,NA,0,-2,NA,"low",24,"red"
